Distrito,Grupo Incidencia
25 DE DICIEMBRE,2
3 DE FEBRERO,3
ABAI,3
ACAHAY,2
ALBERDI,2
ALTO VERA,3
ALTOS,1
ANTEQUERA,2
AREGUA,1
ARROYOS Y ESTEROS,1
ASUNCION,2
ATYRA,1
AYOLAS,2
AZOTEY,3
BAHIA NEGRA,3
BELEN,1
BELLA VISTA,1
BENJAMIN ACEVAL,1
BORJA,3
BUENA VISTA,3
CAACUPE,1
CAAGUAZU,1
CAAZAPA,2
CAMBYRETA,2
CAPIATA,1
CAPIIBARY,2
CAPITAN BADO,2
CAPITAN MEZA,3
CAPITAN MIRANDA,2
CARAGUATAY,1
CARAPEGUA,1
CARAYAO,2
CARLOS ANTONIO LOPEZ,3
CARMELO PERALTA,3
CARMEN DEL PARANA,3
CECILIO BAEZ,1
CERRITO,2
CHORE,1
COLONIA INDEPENDENCIA,2
CONCEPCION,1
CORONEL BOGADO,2
CORONEL MARTINEZ,2
CORONEL OVIEDO,1
CORPUS CHRISTI,2
CURUGUATY,1
DESMOCHADOS,3
DR. MOISES BERTONI,3
EDELIRA,3
EMBOSCADA,1
ENCARNACION,2
ESCOBAR,2
EUSEBIO AYALA,1
FELIX PEREZ CARDOZO,2
FERNANDO DE LA MORA,1
FILADELFIA,2
FRAM,3
FUERTE OLIMPO,2
GENERAL ARTIGAS,2
GENERAL BRUGUEZ,2
GENERAL DELGADO,3
GENERAL FRANCISCO CABALLERO ALVAREZ,3
GENERAL MORINIGO,3
GUARAMBARE,1
GUAYAIBI,1
HERNANDARIAS,1
HOHENAU,2
HORQUETA,1
HUMAITA,3
ISLA PUCU,2
ISLA UMBU,3
ITA,1
ITACURUBI DE LA CORDILLERA,1
ITACURUBI DEL ROSARIO,2
ITAKYRY,2
ITANARA,3
ITAPE,2
ITAPUA POTY,3
ITAUGUA,1
ITURBE,2
J A SALDIVAR,1
JESUS,3
JOSE DOMINGO OCAMPOS,2
JOSE FALCON,3
JOSE FASSARDI,2
JUAN DE MENA,2
JUAN E. OLEARY,3
JUAN EULOGIO ESTIGARRIBIA,2
JUAN LEON MALLORQUIN,2
JUAN MANUEL FRUTOS,3
KATUETE,1
LA PALOMA,1
LA PASTORA,3
LA PAZ,3
LAMBARE,1
LAURELES,3
LEANDRO OVIEDO,3
LIMA,2
LIMPIO,1
LOMA GRANDE,1
LOMA PLATA,3
LORETO,1
LUQUE,1
MACIEL,3
MARIANO ROQUE ALONSO,1
MAURICIO JOSE TROCHE,2
MBARACAYU,3
MBOCAYATY,2
MBOCAYATY DEL YHAGUY,2
MCAL. ESTIGARRIBIA,2
MCAL. FRANCISCO SOLANO LOPEZ,3
MINGA GUAZU,2
MINGA PORA,3
NANAWA,1
NARANJAL,3
NATALICIO TALAVERA,3
NATALIO,3
NUEVA ALBORADA,3
NUEVA COLOMBIA,1
NUEVA ESPERANZA,1
NUEVA GERMANIA,2
NUEVA ITALIA,1
NUEVA LONDRES,2
OBLIGADO,3
PARAGUARI,1
PASO YOBAI,3
PEDRO JUAN CABALLERO,1
PILAR,2
PIRAPO,3
PIRAYU,1
PIRIBEBUY,1
PUERTO PINASCO,1
QUIINDY,1
R I 3 CORRALES,3
RAUL ARSENIO OVIEDO,3
REPATRIACION,1
SALTO DEL GUAIRA,1
SAN ALBERTO,1
SAN ANTONIO,1
SAN BERNARDINO,1
SAN CARLOS,2
SAN COSME Y DAMIAN,3
SAN ESTANISLAO,1
SAN IGNACIO,2
SAN JOAQUIN,2
SAN JOSE DE LOS ARROYOS,2
SAN JOSE OBRERO,2
SAN JUAN BAUTISTA,1
SAN JUAN DEL PARANA,3
SAN JUAN NEPOMUCENO,3
SAN LAZARO,2
SAN LORENZO,1
SAN MIGUEL,2
SAN PATRICIO,3
SAN PEDRO,2
SAN PEDRO DEL PARANA,3
SAN RAFAEL DEL PARANA,3
SAN SALVADOR,2
SANTA ELENA,1
SANTA MARIA,3
SANTA RITA,3
SANTA ROSA,2
SANTA ROSA DEL AGUARAY,1
SANTA ROSA DEL MBUTUY,1
SANTA ROSA DEL MONDAY,2
SANTIAGO,3
SAPUCAI,1
SIMON BOLIVAR,2
TACUARAS,3
TACUATI,2
TAVAI,3
TAVAPY,3
TEBICUARY,1
TEBICUARYMI,2
TEMBIAPORA,3
TOBATI,1
TOMAS ROMERO PEREIRA,2
TRINIDAD,2
UNION,2
VALENZUELA,2
VAQUERIA,3
VILLA DEL ROSARIO,2
VILLA ELISA,1
VILLA HAYES,1
VILLA OLIVA,3
VILLALBIN,3
VILLARRICA,1
VILLETA,1
YABEBYRY,3
YAGUARON,1
YATAITY,2
YATAITY DEL NORTE,2
YATYTAY,3
YBY YAU,1
YEGROS,3
YGUAZU,3
YHU,3
YPACARAI,1
YPANE,1
YUTY,3
ZANJA PYTA,2
